Title,Genre,Duration,Rating,Voting
The Life of Chuck,Drama,1h 51m,7.7,4.6K
Anora,Drama,2h 19m,7.5,202K
The Substance,Drama,2h 21m,7.2,316K
The Unholy Trinity,Drama,1h 35m,6.1,336
Conclave,Drama,2h,7.4,200K
Gladiator II,Drama,2h 28m,6.5,250K
The Brutalist,Drama,3h 36m,7.3,92K
A Complete Unknown,Drama,2h 21m,7.3,91K
Parthenope,Drama,2h 17m,6.6,14K
Presence,Drama,1h 24m,6.1,28K
The Assessment,Drama,1h 54m,6.6,11K
Babygirl,Drama,1h 54m,5.8,63K
Dune: Part Two,Drama,2h 46m,8.5,641K
The Shrouds,Drama,2h,5.9,3.2K
Speak No Evil,Drama,1h 50m,6.8,109K
A Real Pain,Drama,1h 30m,7.1,104K
I'm Still Here,Drama,2h 17m,8.2,112K
The Order,Drama,1h 56m,6.8,49K
Mufasa: The Lion King,Drama,1h 58m,6.6,70K
The Salt Path,Drama,1h 55m,7.0,2K
My Old Ass,Drama,1h 29m,6.9,41K
The Fall Guy,Drama,2h 6m,6.8,226K
We Live in Time,Drama,1h 48m,7.0,56K
Small Things Like These,Drama,1h 38m,6.7,27K
Freaky Tales,Drama,1h 47m,6.2,7.1K
Juror #2,Drama,1h 54m,7.0,104K
The Count of Monte-Cristo,Drama,2h 58m,7.6,37K
It Ends with Us,Drama,2h 10m,6.3,88K
Dirty Angels,Drama,1h 44m,4.4,3.9K
Caddo Lake,Drama,1h 43m,6.8,45K
The Apprentice,Drama,2h 2m,7.1,59K
The Last Showgirl,Drama,1h 28m,6.5,14K
Rebel Ridge,Drama,2h 11m,6.8,91K
Saturday Night,Drama,1h 49m,6.9,33K
Challengers,Drama,2h 11m,7.0,158K
Goodrich,Drama,1h 50m,6.3,5.9K
Joker: Folie à Deux,Drama,2h 18m,5.2,165K
Road House,Drama,2h 1m,6.2,170K
Suncoast,Drama,1h 49m,6.7,7.5K
The Friend,Drama,1h 59m,6.3,2.9K
September 5,Drama,1h 35m,7.1,26K
On Swift Horses,Drama,1h 59m,6.0,2.2K
Inside Out 2,Drama,1h 36m,7.5,222K
A Quiet Place: Day One,Drama,1h 39m,6.3,154K
The Seed of the Sacred Fig,Drama,2h 47m,7.6,15K
The Return,Drama,1h 56m,6.2,10K
The Idea of You,Drama,1h 55m,6.3,75K
Megalopolis,Drama,2h 18m,4.7,37K
A Different Man,Drama,1h 52m,6.9,31K
The Wailing,Drama,1h 47m,6.1,1.5K
