Title,Genre,Duration,Rating,Voting
The Unholy Trinity,Action,1h 35m,6.1,336
Gladiator II,Action,2h 28m,6.5,250K
Dune: Part Two,Action,2h 46m,8.5,641K
Venom: The Last Dance,Action,1h 50m,6.0,129K
The Beekeeper,Action,1h 45m,6.3,161K
Civil War,Action,1h 49m,7.0,243K
Twisters,Action,2h 2m,6.5,175K
The Ministry of Ungentlemanly Warfare,Action,2h 2m,6.8,139K
Deadpool & Wolverine,Action,2h 8m,7.5,506K
Kraven the Hunter,Action,2h 7m,5.5,62K
Carry-On,Action,1h 59m,6.5,171K
The Fall Guy,Action,2h 6m,6.8,226K
Furiosa: A Mad Max Saga,Action,2h 28m,7.5,291K
Madame Web,Action,1h 56m,4.1,103K
Freaky Tales,Action,1h 47m,6.2,7.1K
Cells at Work!,Action,1h 49m,6.7,662
Sonic the Hedgehog 3,Action,1h 50m,6.9,64K
The Count of Monte-Cristo,Action,2h 58m,7.6,37K
Dirty Angels,Action,1h 44m,4.4,3.9K
Rebel Ridge,Action,2h 11m,6.8,91K
Fight or Flight,Action,1h 42m,6.4,14K
Borderlands,Action,1h 41m,4.7,50K
Transformers One,Action,1h 44m,7.6,54K
Argylle,Action,2h 19m,5.6,94K
Godzilla x Kong: The New Empire,Action,1h 55m,6.0,124K
Road House,Action,2h 1m,6.2,170K
Kingdom of the Planet of the Apes,Action,2h 25m,6.8,154K
Elevation,Action,1h 31m,5.6,24K
Damsel,Action,1h 50m,6.1,111K
Bad Boys: Ride or Die,Action,1h 55m,6.5,102K
Absolution,Action,1h 52m,5.2,8.8K
The Prosecutor,Action,1h 57m,6.6,2.5K
The Union,Action,1h 47m,5.4,54K
Maharaja,Action,2h 21m,8.4,70K
Land of Bad,Action,1h 53m,6.6,52K
The Crow,Action,1h 51m,4.7,36K
Red One,Action,2h 3m,6.3,142K
The Lord of the Rings: The War of the Rohirrim,Action,2h 14m,6.3,33K
The Instigators,Action,1h 41m,6.2,39K
Kung Fu Panda 4,Action,1h 34m,6.3,70K
Homestead,Action,1h 52m,5.2,4.1K
Survive,Action,1h 30m,4.6,3K
Drive-Away Dolls,Action,1h 24m,5.4,24K
Monkey Man,Action,2h 1m,6.8,93K
The Killer,Action,2h 6m,5.7,13K
The Shadow Strays,Action,2h 24m,6.5,9.6K
Beverly Hills Cop: Axel F,Action,1h 58m,6.4,82K
Canary Black,Action,1h 41m,5.4,12K
Arcadian,Action,1h 32m,5.5,24K
The Killer's Game,Action,1h 44m,5.8,18K
