Title,Genre,Duration,Rating,Voting
Anora,Romance,2h 19m,7.5,202K
Wicked,Romance,2h 40m,7.4,167K
Babygirl,Romance,1h 54m,5.8,63K
My Old Ass,Romance,1h 29m,6.9,41K
The Fall Guy,Romance,2h 6m,6.8,226K
We Live in Time,Romance,1h 48m,7.0,56K
The Count of Monte-Cristo,Romance,2h 58m,7.6,37K
It Ends with Us,Romance,2h 10m,6.3,88K
Challengers,Romance,2h 11m,7.0,158K
On Swift Horses,Romance,1h 59m,6.0,2.2K
The Idea of You,Romance,1h 55m,6.3,75K
Love Lies Bleeding,Romance,1h 44m,6.6,58K
Queer,Romance,2h 17m,6.4,23K
Fly Me to the Moon,Romance,2h 12m,6.6,52K
The Crow,Romance,1h 51m,4.7,36K
A Nice Indian Boy,Romance,1h 36m,7.4,2K
Jane Austen Wrecked My Life,Romance,1h 38m,6.5,720
A Family Affair,Romance,1h 51m,5.4,37K
F*** Marry Kill,Romance,1h 37m,5.3,2.8K
Turtles All the Way Down,Romance,1h 51m,6.6,7.4K
Young Hearts,Romance,1h 39m,7.9,5.5K
Ask Me What You Want,Romance,1h 54m,3.9,1.2K
Winter Spring Summer or Fall,Romance,1h 37m,6.1,2.8K
Emmanuelle,Romance,1h 47m,4.1,1.9K
All We Imagine as Light,Romance,1h 58m,7.1,11K
Sidelined: The QB and Me,Romance,1h 39m,5.8,4.1K
Your Fault,Romance,1h 58m,5.2,14K
Your Monster,Romance,1h 43m,6.4,6.2K
Beating Hearts,Romance,2h 46m,7.0,5.9K
Lonely Planet,Romance,1h 34m,5.7,12K
Die Alone,Romance,1h 30m,5.8,3.9K
Lick,Romance,1h 15m,6.2,956
Young Woman and the Sea,Romance,2h 9m,7.5,18K
Find Me Falling,Romance,1h 33m,6.3,13K
Dreams (Sex Love),Romance,1h 50m,7.6,711
Girls Will Be Girls,Romance,1h 58m,7.1,2.7K
Upgraded,Romance,1h 44m,6.1,30K
Lisa Frankenstein,Romance,1h 41m,6.1,29K
La cocina,Romance,2h 19m,7.1,3.6K
Sunlight,Romance,1h 36m,7.6,30
The Tearsmith,Romance,1h 43m,5.2,13K
Loveable,Romance,1h 41m,7.7,2.4K
Sex,Romance,1h 58m,6.6,1.4K
Mon Potongo,Romance,2h 29m,6.8,458
Duino,Romance,1h 48m,7.5,137
The Greatest Hits,Romance,1h 34m,6.2,7.6K
Mother of the Bride,Romance,1h 28m,4.8,17K
Bonjour Tristesse,Romance,1h 50m,6.2,314
Lilies Not for Me,Romance,1h 39m,7.1,641
Our Little Secret,Romance,1h 41m,5.7,24K
