Title,Genre,Duration,Rating,Voting
Heretic,Thriller,1h 51m,7.0,159K
The Surfer,Thriller,1h 40m,6.1,7.7K
Conclave,Thriller,2h,7.4,200K
Presence,Thriller,1h 24m,6.1,28K
Babygirl,Thriller,1h 54m,5.8,63K
Venom: The Last Dance,Thriller,1h 50m,6.0,129K
The Beekeeper,Thriller,1h 45m,6.3,161K
Civil War,Thriller,1h 49m,7.0,243K
Twisters,Thriller,2h 2m,6.5,175K
The Shrouds,Thriller,2h,5.9,3.2K
Speak No Evil,Thriller,1h 50m,6.8,109K
Alien: Romulus,Thriller,1h 59m,7.1,253K
Kraven the Hunter,Thriller,2h 7m,5.5,62K
The Order,Thriller,1h 56m,6.8,49K
Longlegs,Thriller,1h 41m,6.6,193K
Carry-On,Thriller,1h 59m,6.5,171K
Smile 2,Thriller,2h 7m,6.7,113K
Eden,Thriller,2h,6.6,1.6K
Trap,Thriller,1h 45m,5.8,145K
Madame Web,Thriller,1h 56m,4.1,103K
Blink Twice,Thriller,1h 42m,6.5,111K
Juror #2,Thriller,1h 54m,7.0,104K
The Count of Monte-Cristo,Thriller,2h 58m,7.6,37K
Wolfs,Thriller,1h 48m,6.5,87K
The Luckiest Man in America,Thriller,1h 31m,6.2,3.4K
Dirty Angels,Thriller,1h 44m,4.4,3.9K
Abigail,Thriller,1h 49m,6.5,100K
Sew Torn,Thriller,1h 40m,6.2,539
Amongst the Wolves,Thriller,1h 42m,5.4,227
Outbreak,Thriller,1h 28m,4.4,1.1K
Caddo Lake,Thriller,1h 43m,6.8,45K
Subservience,Thriller,1h 46m,5.4,29K
Rebel Ridge,Thriller,2h 11m,6.8,91K
Borderlands,Thriller,1h 41m,4.7,50K
Argylle,Thriller,2h 19m,5.6,94K
Godzilla x Kong: The New Empire,Thriller,1h 55m,6.0,124K
Joker: Folie à Deux,Thriller,2h 18m,5.2,165K
Oddity,Thriller,1h 38m,6.7,46K
Road House,Thriller,2h 1m,6.2,170K
September 5,Thriller,1h 35m,7.1,26K
A Quiet Place: Day One,Thriller,1h 39m,6.3,154K
The Seed of the Sacred Fig,Thriller,2h 47m,7.6,15K
A Different Man,Thriller,1h 52m,6.9,31K
Kingdom of the Planet of the Apes,Thriller,2h 25m,6.8,154K
Elevation,Thriller,1h 31m,5.6,24K
Bad Boys: Ride or Die,Thriller,1h 55m,6.5,102K
Love Lies Bleeding,Thriller,1h 44m,6.6,58K
Absolution,Thriller,1h 52m,5.2,8.8K
The Prosecutor,Thriller,1h 57m,6.6,2.5K
Salem's Lot,Thriller,1h 54m,5.6,35K
